tokens,frequency,relative_frequency
already,4,0.00030152268958239106
favorite,4,0.00030152268958239106
year,4,0.00030152268958239106
cocktails,4,0.00030152268958239106
member,4,0.00030152268958239106
spoke,4,0.00030152268958239106
rude,4,0.00030152268958239106
wow,4,0.00030152268958239106
weeks,4,0.00030152268958239106
jacuzzi,4,0.00030152268958239106
ate,4,0.00030152268958239106
phone,4,0.00030152268958239106
treatment,4,0.00030152268958239106
chic,4,0.00030152268958239106
comment,4,0.00030152268958239106
willing,4,0.00030152268958239106
surprise,4,0.00030152268958239106
issue,4,0.00030152268958239106
public,4,0.00030152268958239106
slow,4,0.00030152268958239106
experiences,4,0.00030152268958239106
100,4,0.00030152268958239106
anyone,4,0.00030152268958239106
unique,4,0.00030152268958239106
might,4,0.00030152268958239106
attractive,4,0.00030152268958239106
nearby,4,0.00030152268958239106
danilo,4,0.00030152268958239106
together,4,0.00030152268958239106
checked,4,0.00030152268958239106
stood,4,0.00030152268958239106
single,4,0.00030152268958239106
level,4,0.00030152268958239106
side,4,0.00030152268958239106
finally,4,0.00030152268958239106
window,4,0.00030152268958239106
lack,4,0.00030152268958239106
trips,4,0.00030152268958239106
run,4,0.00030152268958239106
gulf,4,0.00030152268958239106
general,4,0.00030152268958239106
points,4,0.00030152268958239106
goes,4,0.00030152268958239106
details,4,0.00030152268958239106
mattress,4,0.00030152268958239106
situated,4,0.00030152268958239106
behind,4,0.00030152268958239106
atmosphere,4,0.00030152268958239106
likely,4,0.00030152268958239106
mini,4,0.00030152268958239106
number,4,0.00030152268958239106
mediocre,4,0.00030152268958239106
larger,4,0.00030152268958239106
selected,4,0.00030152268958239106
european,4,0.00030152268958239106
set,4,0.00030152268958239106
immediately,4,0.00030152268958239106
advantage,4,0.00030152268958239106
vacation,4,0.00030152268958239106
sfogliatella,4,0.00030152268958239106
centrally,4,0.00030152268958239106
read,4,0.00030152268958239106
maintained,4,0.00030152268958239106
card,4,0.00030152268958239106
cab,4,0.00030152268958239106
speak,4,0.00030152268958239106
furnishings,3,0.0002261420171867933
machine,3,0.0002261420171867933
suggestions,3,0.0002261420171867933
else,3,0.0002261420171867933
pain,3,0.0002261420171867933
charged,3,0.0002261420171867933
gets,3,0.0002261420171867933
fancy,3,0.0002261420171867933
whilst,3,0.0002261420171867933
mix,3,0.0002261420171867933
talk,3,0.0002261420171867933
sightseeing,3,0.0002261420171867933
rating,3,0.0002261420171867933
giant,3,0.0002261420171867933
sandwich,3,0.0002261420171867933
chaotic,3,0.0002261420171867933
fast,3,0.0002261420171867933
tasty,3,0.0002261420171867933
auto,3,0.0002261420171867933
sights,3,0.0002261420171867933
third,3,0.0002261420171867933
decoration,3,0.0002261420171867933
setting,3,0.0002261420171867933
totally,3,0.0002261420171867933
starred,3,0.0002261420171867933
ordered,3,0.0002261420171867933
lady,3,0.0002261420171867933
written,3,0.0002261420171867933
organized,3,0.0002261420171867933
described,3,0.0002261420171867933
bustling,3,0.0002261420171867933
seem,3,0.0002261420171867933
lie,3,0.0002261420171867933
mins,3,0.0002261420171867933
amex,3,0.0002261420171867933
sorry,3,0.0002261420171867933
procida,3,0.0002261420171867933
foods,3,0.0002261420171867933
antonio,3,0.0002261420171867933
loungers,3,0.0002261420171867933
include,3,0.0002261420171867933
imagine,3,0.0002261420171867933
often,3,0.0002261420171867933
starting,3,0.0002261420171867933
blue,3,0.0002261420171867933
liked,3,0.0002261420171867933
added,3,0.0002261420171867933
wide,3,0.0002261420171867933
multiple,3,0.0002261420171867933
earlier,3,0.0002261420171867933
non,3,0.0002261420171867933
ladies,3,0.0002261420171867933
trying,3,0.0002261420171867933
construction,3,0.0002261420171867933
degrees,3,0.0002261420171867933
opportunity,3,0.0002261420171867933
placed,3,0.0002261420171867933
rather,3,0.0002261420171867933
motion,3,0.0002261420171867933
shops,3,0.0002261420171867933
tight,3,0.0002261420171867933
immediate,3,0.0002261420171867933
specifically,3,0.0002261420171867933
dinning,3,0.0002261420171867933
longer,3,0.0002261420171867933
upscale,3,0.0002261420171867933
perfectly,3,0.0002261420171867933
storage,3,0.0002261420171867933
bedside,3,0.0002261420171867933
maintenance,3,0.0002261420171867933
metro,3,0.0002261420171867933
walls,3,0.0002261420171867933
average,3,0.0002261420171867933
min,3,0.0002261420171867933
sliding,3,0.0002261420171867933
salad,3,0.0002261420171867933
saying,3,0.0002261420171867933
base,3,0.0002261420171867933
seems,3,0.0002261420171867933
created,3,0.0002261420171867933
egg,3,0.0002261420171867933
pricey,3,0.0002261420171867933
contemporary,3,0.0002261420171867933
piazza,3,0.0002261420171867933
arrangements,3,0.0002261420171867933
rome,3,0.0002261420171867933
spanish,3,0.0002261420171867933
dream,3,0.0002261420171867933
error,3,0.0002261420171867933
types,3,0.0002261420171867933
doorman,3,0.0002261420171867933
knowledgeable,3,0.0002261420171867933
splendid,3,0.0002261420171867933
alone,3,0.0002261420171867933
maybe,3,0.0002261420171867933
midnight,3,0.0002261420171867933
explained,3,0.0002261420171867933
cities,3,0.0002261420171867933
noise,3,0.0002261420171867933
prompt,3,0.0002261420171867933
staffs,3,0.0002261420171867933
reasonably,3,0.0002261420171867933
chocolate,3,0.0002261420171867933
thrilled,3,0.0002261420171867933
fulfilled,3,0.0002261420171867933
promenade,3,0.0002261420171867933
requests,3,0.0002261420171867933
missed,3,0.0002261420171867933
happen,3,0.0002261420171867933
pressure,3,0.0002261420171867933
boat,3,0.0002261420171867933
cleaned,3,0.0002261420171867933
row,3,0.0002261420171867933
coming,3,0.0002261420171867933
adequate,3,0.0002261420171867933
switches,3,0.0002261420171867933
downside,3,0.0002261420171867933
may,3,0.0002261420171867933
prosecco,3,0.0002261420171867933
receive,3,0.0002261420171867933
japanese,3,0.0002261420171867933
sink,3,0.0002261420171867933
grazie,3,0.0002261420171867933
locations,3,0.0002261420171867933
means,3,0.0002261420171867933
attractions,3,0.0002261420171867933
emailed,3,0.0002261420171867933
downtown,3,0.0002261420171867933
floors,3,0.0002261420171867933
miss,3,0.0002261420171867933
strange,3,0.0002261420171867933
daughter,3,0.0002261420171867933
split,3,0.0002261420171867933
smooth,3,0.0002261420171867933
ride,3,0.0002261420171867933
gritty,3,0.0002261420171867933
takes,3,0.0002261420171867933
call,3,0.0002261420171867933
spending,3,0.0002261420171867933
shout,3,0.0002261420171867933
rest,3,0.0002261420171867933
spotless,3,0.0002261420171867933
figure,3,0.0002261420171867933
ischia,3,0.0002261420171867933
positano,3,0.0002261420171867933
ways,3,0.0002261420171867933
europe,3,0.0002261420171867933
range,3,0.0002261420171867933
dock,3,0.0002261420171867933
roll,3,0.0002261420171867933
seeing,3,0.0002261420171867933
immaculate,3,0.0002261420171867933
standards,3,0.0002261420171867933
young,3,0.0002261420171867933
activities,3,0.0002261420171867933
adult,3,0.0002261420171867933
taste,3,0.0002261420171867933
low,3,0.0002261420171867933
friendliness,3,0.0002261420171867933
rough,3,0.0002261420171867933
makes,3,0.0002261420171867933
arranged,3,0.0002261420171867933
office,3,0.0002261420171867933
month,3,0.0002261420171867933
chiara,3,0.0002261420171867933
outdoor,3,0.0002261420171867933
tasting,3,0.0002261420171867933
compact,3,0.0002261420171867933
real,3,0.0002261420171867933
pleasure,3,0.0002261420171867933
renovations,3,0.0002261420171867933
brilliant,3,0.0002261420171867933
suitcases,3,0.0002261420171867933
sweet,3,0.0002261420171867933
def,3,0.0002261420171867933
live,3,0.0002261420171867933
started,3,0.0002261420171867933
drawers,3,0.0002261420171867933
snacks,3,0.0002261420171867933
bags,3,0.0002261420171867933
warehouse,3,0.0002261420171867933
heat,3,0.0002261420171867933
directly,3,0.0002261420171867933
looks,3,0.0002261420171867933
windows,3,0.0002261420171867933
curtains,3,0.0002261420171867933
give,3,0.0002261420171867933
smiling,3,0.0002261420171867933
perks,3,0.0002261420171867933
provide,3,0.0002261420171867933
hyatt,3,0.0002261420171867933
easily,3,0.0002261420171867933
picked,3,0.0002261420171867933
returned,3,0.0002261420171867933
reason,3,0.0002261420171867933
later,3,0.0002261420171867933
vibrant,3,0.0002261420171867933
salt,3,0.0002261420171867933
simply,3,0.0002261420171867933
breakfasts,3,0.0002261420171867933
warmth,3,0.0002261420171867933
yes,3,0.0002261420171867933
fresh,3,0.0002261420171867933
clothing,3,0.0002261420171867933
surroundings,3,0.0002261420171867933
designer,3,0.0002261420171867933
comments,3,0.0002261420171867933
pizza,3,0.0002261420171867933
parts,3,0.0002261420171867933
cheese,3,0.0002261420171867933
competent,3,0.0002261420171867933
elsewhere,3,0.0002261420171867933
serves,3,0.0002261420171867933
friend,3,0.0002261420171867933
massive,2,0.00015076134479119553
testing,2,0.00015076134479119553
knows,2,0.00015076134479119553
basic,2,0.00015076134479119553
